Profil	Raport	ROA k/k [%]	ROA r/r [%]	ROE k/k [%]	ROE r/r [%]	Przychody ze sprzedaży kwart k/k [%]	Przychody ze sprzedaży kwart r/r [%]	Marża zysku operacyjnego k/k [%]	Marża zysku operacyjnego r/r [%]	Marża zysku netto k/k [%]	Marża zysku netto r/r [%]	Rynek	Cena / Zysk
MLB (MAKOLAB)	2025/Q3	+38.68%	+253.71%	+35.59%	+253.59%	+1.60%	+27.72%	+29.73%	+151.48%	+34.66%	+263.52%	NC	7.01
MMS (MADMIND)	2025/Q3	+21.25%	+165.83%	+17.02%	+173.80%	+539.62%	+12.87%	+14.89%	+227.91%	+17.96%	+205.04%	NC	17.33
MRC (MERCATOR)	2025/Q3	+46.87%	+1 243.75%	+47.42%	+1 230.77%	+1.34%	+4.11%	+17.40%	+171.30%	+45.68%	+1 112.26%	GPW	3.86
MSP (MOSTALPLC)	2025/Q3	+40.52%	+124.82%	+21.68%	+119.66%	+3.12%	+86.86%	+12.98%	+120.88%	+14.52%	+114.57%	GPW	4.30
NWG (NEWAG)	2025/Q3	+43.73%	+85.29%	+30.97%	+70.64%	+94.87%	+63.71%	+28.11%	+62.74%	+28.00%	+62.96%	GPW	14.17
PCX (PCCEXOL)	2025/Q3	+10.97%	+43.09%	+7.32%	+41.43%	+0.38%	+17.64%	+3.86%	+30.77%	+5.35%	+30.46%	GPW	9.40
PXM (POLIMEXMS)	2025/Q3	+124.43%	+113.19%	+123.31%	+111.53%	+5.95%	+123.07%	+129.30%	+110.44%	+120.92%	+107.88%	GPW	31.81
PZU	2025/Q3	+12.71%	+24.30%	+6.10%	+17.10%	+1.44%	+7.64%	+4.30%	+21.75%	+10.73%	+32.14%	GPW	8.36
QNT (QUANTUM)	2025/Q3	+28.12%	+142.93%	+2.66%	+98.14%	+28.29%	+23.82%	+16.55%	+128.11%	+15.65%	+112.94%	GPW	6.55
QRT (QUART)	2025/Q3	+17.75%	+104.10%	+17.79%	+52.80%	+21.47%	+201.92%	+9.94%	+27.68%	+11.32%	+42.55%	NC	5.86
SEL (SELENAFM)	2025/Q3	+28.50%	+85.78%	+22.91%	+84.44%	+9.06%	+3.77%	+8.53%	+30.85%	+28.42%	+91.64%	GPW	9.46
SIM (SIMFABRIC)	2025/Q3	+241.75%	+156.21%	+233.53%	+117.84%	+402.18%	+4.99%	+382.58%	+142.05%	+282.38%	+174.52%	GPW	11.48
SPH (SOPHARMA)	2025/Q3	+18.18%	+16.83%	+13.22%	+28.02%	+1.27%	+17.58%	+20.43%	+20.43%	+16.90%	+23.88%	GPW	25.56
TRI (TRITON)	2025/Q3	+155.52%	+143.21%	+144.95%	+138.82%	+225.07%	+876.12%	+144.57%	+129.23%	+122.43%	+114.00%	GPW	8.76
ULG (ULTGAMES)	2025/Q3	+51.95%	+231.28%	+33.52%	+235.38%	+35.80%	+78.79%	+15.49%	+63.02%	+30.81%	+213.94%	GPW	9.61
VDS (VIDIS)	2025/Q1	+440.00%	+146.58%	+399.23%	+145.23%	+17.77%	+2.88%	+76.88%	+223.89%	+412.00%	+141.94%	NC	14.78
VIN (VINDEXUS)	2025/Q3	+12.02%	+149.36%	+5.38%	+149.14%	+2.10%	+39.07%	+1.95%	+91.48%	+0.13%	+80.69%	GPW	4.06
WWL (WAWEL)	2025/Q3	+5.99%	+2.27%	+5.38%	+1.96%	+19.27%	+8.36%	+7.24%	+3.83%	+6.12%	+2.28%	GPW	13.25
ZUK (STAPORKOW)	2025/Q3	+16.44%	+592.98%	+7.76%	+540.65%	+6.50%	+14.28%	+22.61%	+669.09%	+10.34%	+486.88%	GPW	9.74
