Profil	Raport	Rynek	Cena / Wartość księgowa k/k [%]	Cena / Wartość księgowa r/r [%]	Cena / Wartość księgowa	Cena / Zysk k/k [%]	Cena / Zysk r/r [%]	EV / EBITDA
LSI (LSISOFT)	2025/Q3	GPW	-5.47%	-14.24%	1.47	-2.15%	-37.09%	5.17
MGT (MANGATA)	2025/Q3	GPW	-3.53%	-1.19%	0.78	-49.41%	-27.56%	5.68
NVA (PANOVA)	2025/Q3	GPW	-1.07%	-3.11%	0.31	-9.30%	-5.37%	9.12
ODL (ODLEWNIE)	2025/Q3	GPW	-4.19%	-7.39%	1.31	-23.78%	-19.24%	5.24
CEZ	2025/Q3	GPW	-3.10%	-2.08%	2.90	-11.64%	-18.80%	6.64
ATG (ATMGRUPA)	2025/Q3	GPW	-5.66%	-3.74%	0.96	-13.80%	-11.43%	3.09
INK (INSTALKRK)	2025/Q3	GPW	-3.01%	-9.29%	0.69	-18.04%	-9.62%	3.45
PCR (PCCROKITA)	2025/Q3	GPW	-2.46%	-3.40%	0.93	-27.55%	-16.67%	4.71
ALL (AILLERON)	2025/Q3	GPW	-5.68%	-27.30%	1.63	-19.56%	-39.13%	4.71
TOA (TOYA)	2025/Q3	GPW	-3.33%	-11.61%	1.37	-0.31%	-14.13%	5.60
BLO (BLOOBER)	2025/Q3	GPW	-21.25%	-31.71%	2.86	-68.27%	-75.04%	6.86
VOT (VOTUM)	2025/Q3	GPW	-7.59%	-26.42%	1.43	-6.73%	-32.93%	2.15
QRS (QUERCUS)	2025/Q3	GPW	-24.03%	-11.60%	6.59	-20.06%	-34.44%	5.04
WWL (WAWEL)	2025/Q3	GPW	-2.59%	-8.70%	1.38	-7.48%	-10.44%	8.03
SEL (SELENAFM)	2025/Q3	GPW	-5.39%	-3.92%	1.39	-23.03%	-47.88%	5.65
GEA (GRENEVIA)	2025/Q3	GPW	-3.12%	-4.65%	0.78	-3.04%	-50.00%	3.04
SKA (SNIEZKA)	2025/Q3	GPW	-9.98%	-9.86%	2.55	-7.11%	-12.58%	8.21
VRG	2025/Q3	GPW	-1.12%	-8.40%	1.08	-2.39%	-4.00%	5.90
APT (APATOR)	2025/Q3	GPW	-3.80%	-6.60%	1.20	-8.33%	-38.91%	6.12
DIA (DIAG)	2025/Q3	GPW	-14.98%	-21.79%	11.43	-10.59%	-25.90%	11.31
GPP (GRUPRACUJ)	2025/Q3	GPW	-15.13%	-17.10%	7.73	-1.80%	-16.96%	10.50
NWG (NEWAG)	2025/Q3	GPW	-14.29%	-20.72%	4.14	-34.56%	-53.55%	9.52
VOX (VOXEL)	2025/Q3	GPW	-7.18%	-13.74%	3.31	-2.11%	-13.00%	7.62
DVL (DEVELIA)	2025/Q3	GPW	-8.19%	-12.31%	2.09	-14.07%	-21.11%	7.76
DOM (DOMDEV)	2025/Q3	GPW	-6.76%	-16.34%	3.49	-9.87%	-23.46%	8.45
RBW (RAINBOW)	2025/Q3	GPW	-32.98%	-20.18%	3.97	-0.09%	-2.34%	4.77
CAR (INTERCARS)	2025/Q3	GPW	-2.93%	-11.29%	1.39	-4.06%	-10.64%	8.08
ASB (ASBIS)	2025/Q3	GPW	-3.59%	-3.52%	1.45	-2.83%	-42.02%	5.71
ACP (ASSECOPOL)	2025/Q3	GPW	-4.70%	-6.42%	3.22	-6.14%	-15.91%	7.64
ASE (ASSECOSEE)	2025/Q3	GPW	-13.02%	-13.19%	2.81	-0.59%	-2.43%	10.05
ZAB (ZABKA)	2025/Q3	GPW	-21.72%	-42.53%	11.19	-16.01%	-25.03%	8.22
KTY (KETY)	2025/Q3	GPW	-10.11%	-2.10%	4.78	-5.56%	-4.40%	10.05
PZU	2025/Q3	GPW	-5.85%	-10.66%	1.70	-11.29%	-23.70%	3.49
FTE (FORTE)	2025/Q2	GPW	-1.17%	-2.01%	0.59	-22.32%	-87.67%	4.53
FON	2025/Q1	GPW	-1.55%	-6.75%	0.57	-1.56%	-3.19%	10.07
IRL (INTERAOLT)	2021/Q4	GPW	-64.38%	-10.81%	1.79	-25.20%	-14.61%	0.86
